seqid,nev,lat,lon,depth,r,t,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16,mag17,mag18,mag19,mag20,mag21,mag22,mag23,mag24,mag25,mag26,mag27,mag28,mag29,mag30,mag31,mag32
R0.0005.184.0,14,37.2569,-121.6389,6.764,166.509498340391,15.9156675414514,1984.32971011055,1984.34408107101,1984.37137996768,1984.40812817623,1984.52514446974,1984.64494743663,1984.733836255,1984.91514471862,1985.19523180968,1987.00464806,1988.21872053797,1989.13605521214,1990.41132968195,1992.03209779713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.83,0.86,0.98,0.82,0.74,0.81,0.69,0.69,0.69,0.71,0.69,0.74,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0007.7791.0,21,36.5628,-121.1637,6.661,80.4296909118559,-1.89622388655274,1991.70403239092,1994.65356953133,1995.93058281361,1996.55159419494,1999.14969925641,2000.52657260897,2002.62041690671,2004.9388740823,2005.39146581367,2006.09996059488,2006.62465478279,2007.22844338787,2008.15705232146,2009.12850875856,2010.35732086029,2010.92998292586,2011.50539772546,2012.33823712084,2013.24267611999,2013.96379498985,2014.99383382927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.88,1,1,0.75,0.88,0.96,0.94,0.74,0.92,0.59,0.67,0.81,0.72,0.7,0.68,0.63,0.68,0.78,0.7,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0009.7736.0,12,35.8168,-120.3569,4.827,-29.6353935967942,0.274201210881966,2000.40603634133,2004.76961122907,2004.79781573789,2004.86928934742,2004.98411431137,2005.1675087481,2005.36320846715,2005.83676208524,2006.43480126839,2007.5199624109,2009.5906185163,2012.57394940011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.79,0.93,0.76,0.79,0.77,0.62,0.77,0.68,0.4,0.73,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0015.8936.0.C,16,35.8029,-120.3423,4.425,-31.6650455274754,0.29828515688126,1998.39288744641,2003.6209178894,2004.7721489128,2004.8922067449,2004.89271069906,2005.04869254978,2005.38488338058,2005.38499030473,2005.77296862919,2005.83371810851,2005.9533662389,2007.08641699994,2007.6633102448,2008.23476309072,2011.96407823947,2012.30407404498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,1.13,0.76,0.76,0.91,0.91,0.85,0.84,0.83,0.84,0.84,0.5,0.6,1.03,0.82,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0027.6344.0,13,36.5792,-121.1774,5.018,82.6106429923284,-1.65235516889023,1993.90219225996,1994.13232451769,1995.83115445237,2004.26139510379,2005.62277407598,2008.26838437373,2008.26955694381,2009.51767336156,2011.65351995529,2012.26796713848,2012.26797358803,2014.59748283042,2014.59751538242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.43,1.02,0.9,0.88,0.72,1.22,0.72,1.08,0.71,0.72,0.73,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0031.4042.0,13,36.4908,-121.0739,6.355,69.1335805011256,-0.93436999626168,1989.89150495339,1990.88183003361,1991.53245099347,1994.51780468576,1995.67635470225,2002.03884397831,2003.06248656551,2007.68674859874,2008.73473395251,2011.1196612779,2012.33011971356,2013.40922843354,2014.42342534754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,1.04,0.89,1.18,0.76,1,0.9,0.9,0.87,1.15,1,1.19,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0082.10432.0.C,14,35.924,-120.4754,4.011,-13.6450372517798,-0.303765523921571,2005.35624604325,2005.79928826579,2006.12132038369,2007.61570460616,2007.61616151129,2008.36981843946,2008.9344867461,2008.93453774381,2010.60560448313,2011.98056242738,2011.98079857591,2013.04388740202,2013.72234050641,2014.6487875463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.98,1.02,0.56,0.59,0.83,0.82,0.83,0.84,0.82,0.84,0.77,0.87,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0109.594.0.C,18,36.7039,-121.342,4.42,102.690025614327,-3.89163473980503,1984.56564985548,1990.23683428494,1990.24807005613,1995.86613945269,2001.51204818842,2002.31588711314,2002.56124994863,2003.27415781678,2003.8357589447,2005.57645859494,2009.16830493753,2009.1683306101,2009.18368882325,2009.43601852264,2013.31241315386,2013.31254803907,2014.50362851471,2014.62328835616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.93,0.71,1.03,1.04,1.05,0.87,0.88,1.08,0.92,0.72,0.79,0.89,0.77,0.75,0.8,0.76,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0121.9990.0,12,35.7783,-120.3272,8.154,-34.6351665697687,-0.403331172156868,2004.76469934856,2004.89675471849,2004.93677829102,2004.94635574877,2005.42298412925,2005.69417464263,2006.70710715373,2007.22151124873,2008.66676921739,2010.69175106481,2014.27089156139,2014.32541845637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1.08,0.93,1.07,0.87,1.07,0.88,0.63,0.95,0.74,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R0.0139.5938.0.C,22,36.5796,-121.1824,6.869,82.9342796219175,-1.96463635401139,1988.24484731583,1989.44115083143,1990.52782585173,1991.50719236492,1992.91226023199,1994.24013474442,1995.47293163527,1995.75174827626,1995.82586051053,1996.3663380085,1999.41557001364,2000.94316416559,2001.83514981799,2002.34343610445,2003.21377999588,2004.69393796707,2005.13505862919,2006.44155801306,2010.92726370212,2011.66999975552,2012.17115759304,2013.3203963632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,1.05,0.86,1.01,0.86,0.83,1.01,1.01,1.07,1.04,1,0.88,0.86,0.78,1.01,0.98,1.01,0.93,0.91,0.86,0.7,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
